"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"67",207,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","美<U+6804>橋","16",28000000,1322314.0496,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,200,"2016","第２四半期","未改<U+88C5>",NA,1988,2006,10,1322280.0076
"68",208,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","美<U+6804>橋","15",17000000,936639.118466667,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","57","ＳＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2016","第２四半期","改<U+88C5><U+6E08>",NA,1925,1982,34,936523.375666667
"69",209,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋",NA,NA,29000000,1474888.74763077,"１ＬＤＫ","65",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","店<U+8217>",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2020","第４四半期","未改<U+88C5>",NA,1988,2004,16,1474834.28043077
"70",210,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋",NA,NA,16000000,881542.699733333,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","57","ＳＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2020","第３四半期","未改<U+88C5>",NA,1925,1982,38,881413.340133333
"71",211,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋",NA,NA,39000000,1983471.0744,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","24","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2020","第２四半期","改<U+88C5><U+6E08>",NA,1988,2012,8,1983443.8408
"72",213,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋",NA,NA,28000000,1851239.66944,"１ＬＤＫ","50",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","事務所",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2016","第２四半期","未改<U+88C5>",NA,1988,2004,12,1851198.81904
"73",216,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","15",34000000,1729179.91101538,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,100,"2021","第１四半期","未改<U+88C5>",NA,1988,2015,6,1729159.48581538
"74",221,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","5",2500000,236127.508857143,"２ＤＫ","35",NA,NA,NA,NA,"昭和","49","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2020","第３四半期","未改<U+88C5>",NA,1925,1974,46,235970.915657143
"75",223,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","9",22000000,1118881.11889231,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,1997,22,1118806.22649231
"76",225,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","7",23000000,1086186.54074286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第３四半期","改<U+88C5><U+6E08>",NA,1988,1991,28,1086091.22314286
"77",231,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","7",22000000,909090.9091,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第４四半期","未改<U+88C5>",NA,1988,1991,27,908998.9957
"78",235,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","8",15000000,901577.761090909,"２ＬＤＫ","55",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第２四半期","改<U+88C5><U+6E08>",NA,1988,1991,27,901485.847690909
"79",240,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","7",17000000,1021788.12923636,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第３四半期","改<U+88C5><U+6E08>",NA,1988,1991,26,1021699.62003636
"80",242,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","13",13000000,859504.13224,"３ＬＤＫ","50",NA,NA,NA,NA,"昭和","64","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1925,1989,28,859408.81464
"81",243,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","7",22000000,1454545.45456,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第１四半期","改<U+88C5><U+6E08>",NA,1988,1991,26,1454456.94536
"82",250,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原","赤嶺","8",8800000,581818.181824,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,1991,25,581733.076824
"83",259,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原",NA,NA,27000000,1190082.64464,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2020","第１四半期","未改<U+88C5>",NA,1988,1997,23,1190004.34804
"84",271,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","宇<U+6804>原",NA,NA,16000000,881542.699733333,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","9","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第２四半期","未改<U+88C5>",NA,1988,1997,19,881478.019933333
"85",276,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上間","首里","30分?60分",29000000,1369539.55137143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"準工業地域",60,200,"2016","第１四半期","未改<U+88C5>",NA,1988,2015,1,1369536.14717143
"86",277,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上間","壺川","30分?60分",19000000,785123.96695,"４ＬＤＫ","80",NA,NA,NA,NA,"昭和","63","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,100,"2019","第４四半期","未改<U+88C5>",NA,1925,1988,31,785018.43675
"87",278,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上間",NA,NA,29000000,1369539.55137143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"準工業地域",60,200,"2020","第３四半期","改<U+88C5><U+6E08>",NA,1988,2015,5,1369522.53037143
"88",280,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上間",NA,NA,19000000,785123.96695,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","2","ＳＲＣ","住宅","住宅",NA,NA,NA,"準工業地域",60,200,"2019","第４四半期","改<U+88C5><U+6E08>",NA,1988,1990,29,785025.24515
"89",283,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上間",NA,NA,32000000,1410468.31957333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,NA,NA,NA,"2017","第２四半期","未改<U+88C5>",NA,1988,2015,2,1410461.51117333
"90",285,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上間",NA,NA,12000000,495867.7686,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","2","ＳＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,NA,NA,NA,"2016","第２四半期","未改<U+88C5>",NA,1988,1990,26,495779.2594
"91",288,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+5965>武山町","旭橋","7",35000000,1361205.63929412,"４ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"準住居地域",60,200,"2020","第３四半期","未改<U+88C5>",NA,1988,2006,14,1361157.98049412
"92",289,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+5965>武山町","旭橋","7",56000000,2177929.02287059,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2020","第３四半期","改<U+88C5><U+6E08>",NA,1988,2006,14,2177881.36407059
"93",290,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+5965>武山町","旭橋","7",54000000,2100145.84348235,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","改<U+88C5><U+6E08>",NA,1988,2006,13,2100101.58888235
"94",293,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+5965>武山町","旭橋","7",32000000,1244530.87021176,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第３四半期","未改<U+88C5>","調停<U+30FB>競<U+58F2>等",1988,2006,10,1244496.82821176
"95",296,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","9",39000000,1841794.56908571,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2020","第４四半期","未改<U+88C5>",NA,1988,2013,7,1841770.73968571
"96",298,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","9",46000000,1900826.4463,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2020","第３四半期","改<U+88C5><U+6E08>",NA,1988,2013,7,1900802.6169
"97",299,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","10",130000000,4297520.6612,"２ＬＤＫ","100",NA,NA,NA,NA,"令和","2","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2020","第３四半期","未改<U+88C5>",NA,2018,2020,0,4297520.6612
"98",301,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",58000000,2556473.82922667,"２ＬＤＫ","75",NA,NA,NA,NA,"平成","27","ＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,400,"2020","第２四半期","未改<U+88C5>",NA,1988,2015,5,2556456.80822667
"99",302,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",65000000,2527953.33011765,"２ＬＤＫ","85",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2020","第２四半期","未改<U+88C5>",NA,1988,2015,5,2527936.30911765
"100",304,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","13",34000000,1605667.06022857,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","14","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2020","第２四半期","未改<U+88C5>",NA,1988,2002,18,1605605.78462857
"101",305,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",98000000,2945154.01956364,NA,"110",NA,NA,NA,NA,"平成","25","ＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,400,"2020","第１四半期",NA,NA,1988,2013,7,2945130.19016364
"102",306,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","15",35000000,1652892.562,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","16","<U+9244>骨造","住宅",NA,NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2020","第１四半期","未改<U+88C5>",NA,1988,2004,16,1652838.0948
"103",307,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",37000000,2223891.81069091,"１ＬＤＫ","55",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2020","第１四半期","未改<U+88C5>",NA,1988,2015,5,2223874.78969091
"104",308,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",55000000,2272727.27275,"２ＬＤＫ","80",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2019","第４四半期","改<U+88C5><U+6E08>",NA,1988,2015,4,2272713.65595
"105",309,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",35000000,2103681.44254545,"１ＬＤＫ","55",NA,NA,NA,NA,"平成","27","ＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,400,"2019","第４四半期","未改<U+88C5>",NA,1988,2015,4,2103667.82574545
"106",310,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","8",45000000,2125147.57971429,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2019","第３四半期","未改<U+88C5>",NA,1988,2013,6,2125127.15451429
"107",311,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","9",58000000,2396694.2149,"２ＬＤＫ","80",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2019","第２四半期","未改<U+88C5>",NA,1988,2013,6,2396673.7897
"108",312,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","9",52000000,2455726.09211429,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","25","ＳＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,400,"2019","第２四半期","未改<U+88C5>",NA,1988,2013,6,2455705.66691429
"109",313,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",36000000,2163786.62661818,"１ＬＤＫ","55",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2019","第２四半期","未改<U+88C5>",NA,1988,2015,4,2163773.00981818
"110",314,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","15",37000000,2038567.49313333,"２ＬＤＫ","60",NA,NA,NA,NA,"平成","15","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2019","第２四半期","未改<U+88C5>",NA,1988,2003,16,2038513.02593333
"111",317,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",77000000,2679425.83734737,"１ＬＤＫ","95",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2018","第４四半期","未改<U+88C5>",NA,1988,2015,3,2679415.62474737
"112",318,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",90000000,2975206.6116,"２ＬＤＫ","100",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2018","第４四半期","未改<U+88C5>",NA,1988,2013,5,2975189.5906
"113",321,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",44000000,2237762.23778462,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2018","第３四半期","未改<U+88C5>",NA,1988,2013,5,2237745.21678462
"114",326,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",46000000,2172373.08148571,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2018","第２四半期","改<U+88C5><U+6E08>",NA,1988,2015,3,2172362.86888571
"115",329,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","12",52000000,2148760.3306,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","19","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2018","第２四半期","未改<U+88C5>",NA,1988,2007,11,2148722.8844
"116",332,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","4",44000000,1818181.8182,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","14","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2018","第１四半期","未改<U+88C5>",NA,1988,2002,16,1818127.351
"117",333,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","8",48000000,1763085.39946667,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","15","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2018","第１四半期","未改<U+88C5>",NA,1988,2003,15,1763034.33646667
"118",335,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","15",45000000,1652892.562,"４ＬＤＫ","90",NA,NA,NA,NA,"平成","19","ＳＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,300,"2018","第１四半期","未改<U+88C5>",NA,1988,2007,11,1652855.1158
"119",336,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",96000000,3340582.86214737,"１ＬＤＫ","95",NA,NA,NA,NA,"平成","27","ＲＣ","住宅","事務所",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2018","第１四半期","未改<U+88C5>",NA,1988,2015,3,3340572.64954737
"120",339,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",90000000,3131796.43326316,"２ＬＤＫ","95",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2017","第３四半期","未改<U+88C5>",NA,1988,2013,4,3131782.81646316
"121",341,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",50000000,1944579.48470588,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2017","第２四半期","改<U+88C5><U+6E08>",NA,1988,2013,4,1944565.86790588
"122",342,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","<U+304A><U+3082><U+308D><U+307E><U+3061>","<U+304A><U+3082><U+308D><U+307E><U+3061>","6",95000000,3489439.85311111,"１ＬＤＫ","90",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,400,"2017","第２四半期","未改<U+88C5>",NA,1988,2013,4,3489426.23631111
